algorithm,city,task,type,accuracy,mae,r2,mse,report_json,image_name,is_placeholder
ARIMA,Baguio City,Rainfall Intensity,classification,60.76,N/A,N/A,N/A,"[{""Class"": ""Light"", ""F1"": 0.72}, {""Class"": ""Moderate"", ""F1"": 0.29}, {""Class"": ""Heavy"", ""F1"": 0.64}]",arima_baguio_intensity,False
GRU,Baguio City,Rainfall Intensity,classification,59.82,N/A,N/A,N/A,"[{""Class"": ""Light"", ""F1"": 0.71}, {""Class"": ""Moderate"", ""F1"": 0.0}, {""Class"": ""Heavy"", ""F1"": 0.63}]",gru_baguio_intensity,False
RNN,Baguio City,Rainfall Intensity,classification,N/A,N/A,N/A,N/A,[],rnn_baguio_intensity,True
LSTM,Baguio City,Rainfall Intensity,classification,N/A,N/A,N/A,N/A,[],lstm_baguio_intensity,True
LINEAR REGRESSION,Baguio City,Rainfall Intensity,classification,N/A,N/A,N/A,N/A,[],linear_regression_baguio_intensity,True
ARIMA,Baguio City,Pressure,regression,52.56,0.886,0.775,1.961,[],arima_baguio_pressure,False
GRU,Baguio City,Pressure,regression,58.92,0.778,0.831,1.443,[],gru_baguio_pressure,False
RNN,Baguio City,Pressure,regression,N/A,N/A,N/A,N/A,[],rnn_baguio_pressure,True
LSTM,Baguio City,Pressure,regression,N/A,N/A,N/A,N/A,[],lstm_baguio_pressure,True
LINEAR REGRESSION,Baguio City,Pressure,regression,N/A,N/A,N/A,N/A,[],linear_regression_baguio_pressure,True
ARIMA,Baguio City,Rainfall Amount,regression,24.05,6.76,0.186,340.05,[],arima_baguio_rain,False
GRU,Baguio City,Rainfall Amount,regression,22.45,7.28,0.141,365.73,[],gru_baguio_rain,False
RNN,Baguio City,Rainfall Amount,regression,N/A,N/A,N/A,N/A,[],rnn_baguio_rain,True
LSTM,Baguio City,Rainfall Amount,regression,N/A,N/A,N/A,N/A,[],lstm_baguio_rain,True
LINEAR REGRESSION,Baguio City,Rainfall Amount,regression,N/A,N/A,N/A,N/A,[],linear_regression_baguio_rain,True
ARIMA,Baguio City,Temperature,regression,97.85,0.411,0.816,0.292,[],arima_baguio_temp,False
GRU,Baguio City,Temperature,regression,97.88,0.407,0.79,0.299,[],gru_baguio_temp,False
